"Date Window Starts","Date Window Ends","Samples in 90 Day Window","Assessment Recommendation"
2018-04-02,2018-07-01,13,"Impaired: geomean exceeds criteria in the 90-day period"
2018-04-09,2018-07-08,12,"Impaired: geomean exceeds criteria in the 90-day period"
2018-04-17,2018-07-16,13,"Impaired: 2 hits in the same 90-day period"
2018-04-24,2018-07-23,13,"Impaired: geomean exceeds criteria in the 90-day period"
2018-04-30,2018-07-29,12,"Impaired: geomean exceeds criteria in the 90-day period"
2018-05-07,2018-08-05,12,"Impaired: geomean exceeds criteria in the 90-day period"
2018-05-14,2018-08-12,12,"Impaired: geomean exceeds criteria in the 90-day period"
2018-05-21,2018-08-19,12,"Impaired: 2 hits in the same 90-day period"
2018-05-29,2018-08-27,13,"Impaired: 2 hits in the same 90-day period"
2018-06-05,2018-09-03,12,"Impaired: 2 hits in the same 90-day period"
2018-06-11,2018-09-09,12,"Impaired: 2 hits in the same 90-day period"
2018-06-18,2018-09-16,12,"Impaired: 3 hits in the same 90-day period"
2018-06-25,2018-09-23,11,"Impaired: 3 hits in the same 90-day period"
2018-07-09,2018-10-07,10,"Impaired: 3 hits in the same 90-day period"
2018-07-16,2018-10-14,9,"Impaired: 3 hits in the same 90-day period"
2018-07-23,2018-10-21,8,"Impaired: 2 hits in the same 90-day period"
2018-07-30,2018-10-28,7,"Impaired: 2 hits in the same 90-day period"
2018-08-06,2018-11-04,6,"Impaired: 2 hits in the same 90-day period"
2018-08-13,2018-11-11,5,"Impaired: 2 hits in the same 90-day period"
2018-08-20,2018-11-18,4,"Insufficient Information: 1 hit(s) and geomean sampling criteria not met (Prioritize for follow-up Monitoring)"
2018-08-27,2018-11-25,3,"Insufficient Information: 1 hit(s) and geomean sampling criteria not met (Prioritize for follow-up Monitoring)"
2018-09-04,2018-12-03,2,"Insufficient Information: 1 hit(s) and geomean sampling criteria not met (Prioritize for follow-up Monitoring)"
2018-09-10,2018-12-09,1,"Insufficient Information: 1 hit(s) and geomean sampling criteria not met (Prioritize for follow-up Monitoring)"
